session	theory	name	line	lines	disposition	target	rule
Continuous_Path_Spaces	Adapted_Quadratic_Variation	dyadic_qsum_cong	37	15	STAY	Continuous_Path_Spaces/Adapted_Quadratic_Variation	library session
Continuous_Path_Spaces	Adapted_Quadratic_Variation	qvmata_cong	874	11	STAY	Continuous_Path_Spaces/Adapted_Quadratic_Variation	library session
Continuous_Path_Spaces	Adapted_Quadratic_Variation	qvmata_continuous	846	6	STAY	Continuous_Path_Spaces/Adapted_Quadratic_Variation	library session
Continuous_Path_Spaces	Adapted_Quadratic_Variation	qvmata_eq_qvmat	885	10	STAY	Continuous_Path_Spaces/Adapted_Quadratic_Variation	library session
Continuous_Path_Spaces	Adapted_Quadratic_Variation	qvmata_measurable	857	17	STAY	Continuous_Path_Spaces/Adapted_Quadratic_Variation	library session
Continuous_Path_Spaces	Adapted_Quadratic_Variation	qvmata_zero	852	5	STAY	Continuous_Path_Spaces/Adapted_Quadratic_Variation	library session
Continuous_Path_Spaces	Adapted_Quadratic_Variation	qvp_cong	52	5	STAY	Continuous_Path_Spaces/Adapted_Quadratic_Variation	library session
Continuous_Path_Spaces	Adapted_Quadratic_Variation	qvp_good_ae	329	61	STAY	Continuous_Path_Spaces/Adapted_Quadratic_Variation	library session
Continuous_Path_Spaces	Adapted_Quadratic_Variation	qvp_good_goodupto	402	5	STAY	Continuous_Path_Spaces/Adapted_Quadratic_Variation	library session
Continuous_Path_Spaces	Adapted_Quadratic_Variation	qvp_good_nonneg	96	5	STAY	Continuous_Path_Spaces/Adapted_Quadratic_Variation	library session
Continuous_Path_Spaces	Adapted_Quadratic_Variation	qvp_good_ub	101	10	STAY	Continuous_Path_Spaces/Adapted_Quadratic_Variation	library session
Continuous_Path_Spaces	Adapted_Quadratic_Variation	qvp_goodupto_cong	779	36	STAY	Continuous_Path_Spaces/Adapted_Quadratic_Variation	library session
Continuous_Path_Spaces	Adapted_Quadratic_Variation	qvp_goodupto_measurable	705	33	STAY	Continuous_Path_Spaces/Adapted_Quadratic_Variation	library session
Continuous_Path_Spaces	Adapted_Quadratic_Variation	qvp_goodupto_mono	397	5	STAY	Continuous_Path_Spaces/Adapted_Quadratic_Variation	library session
Continuous_Path_Spaces	Adapted_Quadratic_Variation	qvp_goodupto_nonneg	407	9	STAY	Continuous_Path_Spaces/Adapted_Quadratic_Variation	library session
